#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
03384_000,568,ens0008400_001,acisf03384_000N020_b0113_h_ecf90_prep3.fits,7.92E-15,1.24E-14,1.39E-14,1.51E-15,2.94E-14,1.0003
14335_000,2876,ens0042100_001,acisf14335_000N020_b1133_h_ecf90_prep3.fits,1.43E-14,3.43E-15,1.39E-14,1.03E-14,1.79E-14,0.9992
13637_000,114,ens0042100_001,acisf13637_000N020_b0070_h_ecf90_prep3.fits,1.32E-14,3.26E-15,1.35E-14,1.01E-14,1.71E-14,0.9997
00954_000,83,ens0008400_001,acisf00954_000N020_b0074_h_ecf90_prep3.fits,0.00E+00,2.53E-16,1.32E-14,2.80E-18,3.39E-14,0.999
13637_000,3152,ens0042100_001,acisf13637_000N020_b1201_h_ecf90_prep3.fits,1.23E-14,4.43E-15,1.27E-14,8.22E-15,1.82E-14,0.9994
03481_000,34,ens0025700_001,acisf03481_000N020_b0000_h_ecf90_prep3.fits,0.00E+00,7.37E-16,1.23E-14,2.47E-17,2.97E-14,0.9992
03498_000,3152,ens0042100_001,acisf03498_000N020_b1201_h_ecf90_prep3.fits,1.17E-14,2.27E-15,1.16E-14,9.39E-15,1.43E-14,0.9992
13637_000,170,ens0042100_001,acisf13637_000N020_b0108_h_ecf90_prep3.fits,1.16E-14,3.54E-15,1.15E-14,7.96E-15,1.60E-14,1.0005
14335_000,3411,ens0042100_001,acisf14335_000N020_b1135_h_ecf90_prep3.fits,1.16E-14,4.95E-15,1.15E-14,6.55E-15,1.72E-14,0.9993
00078_000,451,ens0008400_001,acisf00078_000N020_b0385_h_ecf90_prep3.fits,0.00E+00,6.64E-18,1.12E-14,1.70E-17,2.53E-14,0.9992
15546_000,3147,ens0042100_001,acisf15546_000N020_b1069_h_ecf90_prep3.fits,1.04E-14,4.67E-15,1.11E-14,6.31E-15,1.66E-14,0.9996
15546_000,940,ens0042100_001,acisf15546_000N020_b0512_h_ecf90_prep3.fits,1.03E-14,3.95E-15,1.06E-14,6.30E-15,1.52E-14,0.999
